Trajectories
100
,,S01:WRIST,,,S01:ELBOW,,,S01:SHLDR,,,S01:CHEST,,,S01:RHIP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
72,0,-43.595,-137.425,1355.79,57.1253,-70.3822,1148.6,272.223,-181.236,1278.16,154.503,-315.759,1232.43,263.515,-186.901,941.364
73,0,-43.8021,-137.587,1356.74,56.6779,-70.4718,1149.47,272.177,-181.398,1278.27,154.516,-315.864,1232.47,263.521,-186.908,941.387
74,0,-43.7986,-137.828,1357.5,56.4922,-70.6047,1150.19,272.087,-181.471,1278.41,154.52,-315.942,1232.48,263.498,-186.97,941.365
75,0,-43.9252,-137.954,1358.38,56.176,-70.6027,1150.87,272.031,-181.627,1278.44,154.371,-316.052,1232.49,263.471,-186.961,941.366
76,0,-44.092,-138.198,1359.16,55.685,-70.5094,1151.65,272.017,-181.693,1278.59,154.356,-316.127,1232.49,263.45,-186.975,941.352
77,0,-44.1593,-138.399,1359.94,55.4421,-70.6251,1152.32,271.928,-181.791,1278.72,154.389,-316.223,1232.51,263.477,-186.978,941.352
78,0,-44.3505,-138.501,1360.73,55.3408,-70.7604,1153.01,271.891,-181.922,1278.84,154.361,-316.305,1232.54,263.478,-187.051,941.36
79,0,-44.4389,-138.68,1361.48,55.0512,-70.6773,1153.67,271.712,-182.027,1278.91,154.265,-316.354,1232.55,263.457,-187.092,941.365
80,0,-44.486,-138.907,1362.12,54.6838,-70.7088,1154.28,271.598,-182.123,1279.05,154.253,-316.445,1232.57,263.455,-187.092,941.365
81,0,-44.4276,-139.073,1362.74,54.384,-70.7111,1154.88,271.54,-182.212,1279.17,154.213,-316.512,1232.58,263.456,-187.095,941.377
82,0,-44.5636,-139.136,1363.47,54.1719,-70.8214,1155.49,271.495,-182.299,1279.31,154.216,-316.531,1232.62,263.468,-187.053,941.399
83,0,-44.6195,-139.27,1364.09,54.0604,-70.8496,1156.02,271.433,-182.421,1279.38,154.217,-316.608,1232.63,263.459,-187.049,941.401
84,0,-44.7548,-139.358,1364.64,53.8444,-70.9616,1156.53,271.406,-182.523,1279.45,154.113,-316.671,1232.66,263.49,-187.081,941.393
85,0,-44.7781,-139.471,1365.22,53.5675,-70.9536,1157.05,271.385,-182.631,1279.49,154.144,-316.759,1232.66,263.514,-187.077,941.434
86,0,-44.6462,-139.707,1365.76,53.2655,-70.9119,1157.6,271.308,-182.72,1279.6,154.088,-316.805,1232.64,263.502,-187.131,941.428
87,0,-44.6814,-139.811,1366.34,53.1097,-71.0632,1158.1,271.264,-182.79,1279.7,154.029,-316.88,1232.67,263.55,-187.14,941.442
88,0,-44.72,-139.946,1366.92,52.8965,-71.1875,1158.59,271.249,-182.875,1279.8,154.017,-316.953,1232.67,263.537,-187.184,941.44
89,0,-44.8207,-140.045,1367.5,52.7689,-71.2613,1159.02,271.213,-182.952,1279.91,153.977,-317.038,1232.72,263.587,-187.195,941.449
90,0,-44.8779,-140.192,1368.12,52.6226,-71.3162,1159.49,271.187,-183.047,1279.98,153.978,-317.114,1232.73,263.615,-187.211,941.445
