Devices
1000
,,AMTI OR6 Series Force Plate - Force,,,AMTI OR6 Series Force Plate - Moment,,,AMTI OR6 Series Force Plate - CoP,,,Analog EMG - Voltage,,,,,,,,,,AMTI OR6 Series Force Plate - Force,,,AMTI OR6 Series Force Plate - Moment,,,AMTI OR6 Series Force Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,RFEM,LFEM,LHAM,RHAM,LTIB,RTIB,7,LGAS,RGAS,10,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
4,9,0.998794,-0.246027,-564.257,-43086.9,54339.1,193.452,230.302,-180.64,-3,-0.0062561,6.10352e-005,-0.000183105,0.00360107,-0.00860596,0.000244141,0.000305176,0.000183105,0.000732422,0.0010376,0,0,0,0,0,0,226,252,-3
5,0,1.26011,-0.596236,-564.086,-43081.3,54501.2,159.513,230.619,-180.626,-3,-0.00427246,-0.0010376,-0.00244141,-0.000610352,-0.0088501,0.000244141,0.000396729,0.000366211,6.10352e-005,0.00128174,0,0,0,0,0,0,226,252,-3
5,1,0.866077,-0.50544,-565.997,-43232.8,54516.4,227.957,230.319,-180.616,-3,-0.00274658,-0.00231934,-0.00384521,-0.00549316,-0.00769043,-0.000366211,0.000274658,0.000427246,-0.000305176,0.000579834,0,0,0,0,0,0,226,252,-3
5,2,1.57014,-1.02735,-565.296,-43329.9,54106.8,167.226,229.714,-180.35,-3,0.000274658,-0.0012207,-0.00158691,-0.0101318,-0.00732422,-0.000183105,6.10352e-005,0.000366211,0.000610352,0.00125122,0,0,0,0,0,0,226,252,-3
5,3,0.827379,-0.598671,-564.261,-43120.4,54385.8,124.382,230.384,-180.581,-3,0.00201416,-0.000854492,0.0012207,-0.0130615,-0.00689697,0.00012207,0.000305176,0.000244141,0.000549316,0.000946045,0,0,0,0,0,0,226,252,-3
5,4,1.56561,-0.980566,-565.822,-43175.2,54374.3,211.042,230.098,-180.695,-3,0.00210571,-0.00109863,0.00341797,-0.00732422,-0.00695801,6.10352e-005,0,0.000366211,0.000366211,0.000457764,0,0,0,0,0,0,226,252,-3
5,5,1.04562,-0.844564,-566.349,-42999.6,54090.6,261.98,229.508,-181.076,-3,0.0012207,-0.00183105,0.00512695,-0.000366211,-0.00689697,0.000244141,-0.000518799,0.000976563,0.000305176,0.000671387,0,0,0,0,0,0,226,252,-3
5,6,1.43089,-0.413944,-565.649,-43036.7,54474.7,194.018,230.305,-180.916,-3,0.00161743,-0.00244141,0.00427246,0.00274658,-0.00683594,0.000610352,0.00012207,0,0.000427246,0.00125122,0,0,0,0,0,0,226,252,-3
5,7,1.35253,-1.03355,-564.606,-43233.3,54288.9,64.0597,230.154,-180.428,-3,0.00106812,-0.000732422,0.00335693,0.00445557,-0.0065918,-0.000488281,0.000366211,0.000244141,0.000305176,0.00088501,0,0,0,0,0,0,226,252,-3
5,8,1.17538,-0.815177,-564.954,-43243.9,54409.8,107.264,230.308,-180.456,-3,-9.15527e-005,-0.000488281,0.00238037,0.00366211,-0.00549316,6.10352e-005,0.000335693,0.000793457,0.000793457,0.000732422,0,0,0,0,0,0,226,252,-3
5,9,0.962088,-1.12333,-563.569,-43122.5,54343.2,124.482,230.427,-180.483,-3,0.00201416,0.000488281,-0.00115967,0.003479,-0.0045166,-0.000610352,0.00012207,0.000244141,0.000366211,0.000762939,0,0,0,0,0,0,226,252,-3
6,0,1.17588,-0.510114,-563.558,-43231.2,54255.2,210.581,230.273,-180.289,-3,0.000823975,0.000244141,-0.000671387,0.00396729,-0.00543213,0.000244141,0.000274658,0.000366211,0.00012207,0.00088501,0,0,0,0,0,0,226,252,-3
6,1,1.13101,-0.765988,-565.827,-43089.8,54355,115.846,230.063,-180.846,-3,0.00164795,0.000854492,0.00280762,0.0100098,-0.0032959,0.000366211,0.000213623,0.000305176,-0.00128174,0.0010376,0,0,0,0,0,0,226,252,-3
6,2,1.30709,-1.0721,-565.474,-43293.8,54308.6,193.359,230.041,-180.438,-3,0.00119019,-0.000427246,0.00476074,0.0106201,-0.00201416,0.000366211,0.000396729,0.000488281,0.000793457,0.00149536,0,0,0,0,0,0,226,252,-3
6,3,1.30858,-0.728417,-563.907,-43239.9,54193.8,124.252,230.104,-180.321,-3,0.00140381,0,0.00512695,0.00500488,-0.00189209,-0.000427246,9.15527e-005,0.000183105,0.000427246,0.000488281,0,0,0,0,0,0,226,252,-3
6,4,0.868691,-0.686315,-564.256,-43354,54534.6,271.147,230.649,-180.166,-3,0.00234985,0.000244141,0.00726318,0.00323486,-0.00177002,0.00012207,0.000305176,0.000183105,0.000366211,0.000701904,0,0,0,0,0,0,226,252,-3
6,5,1.43722,-0.944813,-564.256,-43249,54379.3,176.478,230.373,-180.352,-3,0.00271606,0.000366211,0.00396729,0.00384521,-0.00134277,0.000305176,0.000183105,0.000366211,0.000854492,0.00100708,0,0,0,0,0,0,226,252,-3
6,6,1.52216,-0.722122,-565.645,-43240.5,54318.6,141.793,230.03,-180.556,-3,0.00244141,-0.00012207,0.00177002,0.00146484,-0.000549316,0.000183105,0.000335693,0.000244141,0.000732422,0.000518799,0,0,0,0,0,0,226,252,-3
6,7,0.914807,-0.513213,-563.565,-43116.1,54362.9,115.824,230.463,-180.494,-3,0.0022583,0.000671387,0.0010376,-0.000488281,-0.000366211,-0.000366211,0.000305176,0.000244141,0.000610352,-9.15527e-005,0,0,0,0,0,0,226,252,-3
6,8,0.871358,-1.2875,-567.044,-43304.6,54384.4,218.957,229.909,-180.631,-3,0.00320435,0.000793457,0.00152588,-0.00012207,0.00183105,0.000305176,0.000183105,0.000183105,0.0010376,0.000518799,0,0,0,0,0,0,226,252,-3
6,9,1.39384,-0.674257,-566.342,-43163.1,54057.3,123.931,229.45,-180.786,-3,0.0020752,0.000793457,0.0045166,-0.00195313,0.000915527,0.000366211,9.15527e-005,0.000244141,0.000854492,0.000915527,0,0,0,0,0,0,226,252,-3
